127.0.0.1 - - [22/Aug/2022:21:15:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:07 +0530] "GET /medicare HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:18 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:19 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:20 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:21 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:18:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Aug/2022:22:26:01 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [22/Aug/2022:22:26:02 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [22/Aug/2022:22:26:02 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
